# PRODUCT_URL | IMAGE_URL  — hotlink miniatur ze sklepow, klucz dopasowania = product_url
# Zebrane przez agentow (2026-07-05). Artiser + brakujace Wanczykowka dopisane osobno.

# ── GAP POLAND (25 zescrapowanych; w bazie 19 — nadmiar to zestawy/kiszonki, nie dopasuja sie) ──
https://serowar.pl/pl/p/LP-Lactobacillus-plantarum-bakteryjna-kultura-starterowa-probiotyczna/475 | https://serowar.pl/environment/cache/images/productGfx_5084_500_500/LP---Lactobacillus-plantarum---bakteryjna-kultura-starterowa-probiotyczna-10g.webp
https://serowar.pl/pl/p/YO-122-bakterie-startowe-do-jogurtu/137 | https://serowar.pl/environment/cache/images/productGfx_5054_500_500/YO-122---bakterie-startowe-do-jogurtu-10g.webp
https://serowar.pl/pl/p/GEO-plesn-Geotrichum-candidum/806 | https://serowar.pl/environment/cache/images/productGfx_5086_500_500/GEO---plesn-Geotrichum-candidum-10g.webp
https://serowar.pl/pl/p/PC-plesn-Penicillium-candidum/120 | https://serowar.pl/environment/cache/images/productGfx_5075_500_500/PC---plesn-Penicillium-candidum-10g.webp
https://serowar.pl/pl/p/RQ-plesn-Penicillium-roqueforti/121 | https://serowar.pl/environment/cache/images/productGfx_5056_500_500/RQ---plesn-Penicillium-roqueforti-10g.webp

# ── LACTIC (70) ──
https://lactic.pl/pl/p/Beaugel-12/608 | https://lactic.pl/environment/cache/images/productGfx_1207_500_500/Beaugel-12.jpg
https://lactic.pl/pl/p/Beaugel-Acid-1/459 | https://lactic.pl/environment/cache/images/productGfx_1057_500_500/439_86.jpg
https://lactic.pl/pl/p/Beaugel-Bifi-1/426 | https://lactic.pl/environment/cache/images/productGfx_1383_500_500/BEAUGEL-BIFI-1.jpg
https://lactic.pl/pl/p/ALPHA-12/1357 | https://lactic.pl/environment/cache/images/productGfx_1475_500_500/ALPHA-12-3%2C5.webp
https://lactic.pl/pl/p/ALPHA-10/616 | https://lactic.pl/environment/cache/images/productGfx_1517_500_500/ALPHA-10-DL-1.webp
https://lactic.pl/pl/p/ALPHA-3/1108 | https://lactic.pl/environment/cache/images/productGfx_1515_500_500/ALPHA-3-DL-1.webp
https://lactic.pl/pl/p/ALPHA-6/615 | https://lactic.pl/environment/cache/images/productGfx_1516_500_500/ALPHA-6-DL-1.webp
https://lactic.pl/pl/p/ALPHA-BLEU-/1361 | https://lactic.pl/environment/cache/images/productGfx_1526_500_500/Alpha-BLUE-1-DL-1.webp
https://lactic.pl/pl/p/Beaugel-10-25l/1192 | https://lactic.pl/environment/cache/images/productGfx_1215_500_500/Beaugel-10-25l.jpg
https://lactic.pl/pl/p/Beaugel-11-25l/1193 | https://lactic.pl/environment/cache/images/productGfx_1213_500_500/Beaugel-11-25l.jpg
https://lactic.pl/pl/p/Beaugel-Elben/417 | https://lactic.pl/environment/cache/images/productGfx_1208_500_500/Beaugel-12.jpg
https://lactic.pl/pl/p/Beaugel-Kefir-2/647 | https://lactic.pl/environment/cache/images/productGfx_1270_500_500/Beaugel-Kefir-2.jpg
https://lactic.pl/pl/p/Beaugel-Raieb-1/418 | https://lactic.pl/environment/cache/images/productGfx_1280_500_500/Beaugel-Raieb-1.jpg
https://lactic.pl/pl/p/Beaugel-Soja-1/424 | https://lactic.pl/environment/cache/images/productGfx_1384_500_500/Beaugel-Soja-1.jpg
